Year Mo Dy Hr Mn Sec      Lat       Long      Dep  Mag           RMS   dx    dy    dz   Np  Na Gap
2021 04 06 05 57 40.390  39.7247   22.1763    9.0  1.3          0.20  1.00  1.00  1.00  14   7  90
2021 04 06 05 46 33.920  39.7902   21.9982    6.0  1.7          0.20  0.00  0.00  0.00  21   9 122
2021 04 06 05 41 32.900  39.7895   22.0395    8.0  1.4          0.10  0.00  0.00  0.00  16   6 141
2021 04 06 05 40 29.210  39.7348   22.0905    6.0  1.0          0.13  0.00  0.00  1.00  14   7 183
2021 04 06 04 56 57.790  39.7560   22.1213    8.0  0.8          0.09  0.00  0.00  0.00  18   7 119
2021 04 06 04 46 38.600  39.7952   22.0383    6.0  2.0          0.35  0.00  0.00  1.00  34  13  99
2021 04 06 04 18 21.280  38.2812   22.1575    9.0  1.2          0.12  0.00  0.00  1.00  14   7 188
2021 04 06 04 11 48.990  35.0012   24.1762    5.0  3.5          0.92  2.00  3.00  2.00  36  13 111
2021 04 06 03 42 42.240  39.7355   22.1178    2.0  1.5          0.50  3.00  3.00  0.00  10   6  87
2021 04 06 03 23 37.780  39.7374   22.1347    2.0  2.3          0.69  2.00  2.00  0.00  34  24  37
2021 04 06 02 58 08.400  36.4589   22.4718   10.0  2.9          1.00  5.00  7.00  0.00   8   7 180
2021 04 06 02 16 47.610  39.7627   22.0450    2.0  1.4          0.71  3.00  3.00  0.00  10   6 105
2021 04 06 02 04 57.850  36.4181   25.6856    2.0  3.5          0.78  5.00  6.00  0.00   9   6 148
2021 04 06 01 55 52.650  38.0565   23.9632    2.0  1.5          2.10  3.00  3.00  0.00  12   7 120
2021 04 06 01 40 37.110  38.2954   22.1767   10.0  1.0          0.27  4.00  3.00  0.00  11   8 142
2021 04 06 00 40 41.750  39.8136   22.0870    2.0  1.3          0.49  3.00  3.00  0.00  10   6 134
2021 04 06 00 38 24.710  37.9531   23.9129    2.0  1.1          0.69  3.00  4.00  0.00  10   7 144
2021 04 05 23 27 32.260  39.0721   24.3817   10.0  2.6          1.44  2.00  2.00  0.00  35   5  57
2021 04 05 22 36 30.780  38.0430   22.2516   10.0  1.9          0.92  2.00  2.00  0.00  31  25  61
2021 04 05 22 23 24.570  39.7346   23.5502   10.0  2.4          0.50  3.00  2.00  0.00  26   7  77
2021 04 05 22 16 11.370  35.7637   23.4723    2.0  2.6          0.90  5.00  4.00  0.00  15   8 140
