time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-07T07:08:22.454Z,58.2673,-154.9846,1.5,1,ml,,,,0.51,ak,ak0214gjcglk,2021-04-07T07:11:55.400Z,"83 km NNW of Karluk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-07T07:02:11.030Z,40.7245,-119.5363,0.1,2.1,ml,13,159.04,0.357,0.16,nn,nn00804484,2021-04-07T07:39:13.558Z,"17 km WNW of Gerlach, Nevada",earthquake,,11.6,,,automatic,nn,nn
2021-04-07T06:46:08.000Z,33.9241667,-116.713,14.33,2.08,ml,79,20,0.1129,0.18,ci,ci39841544,2021-04-07T06:57:15.710Z,"7km E of Cabazon, CA",earthquake,0.17,0.35,0.15,26,automatic,ci,ci
2021-04-07T06:42:13.200Z,37.263,-116.6482,16.3,0.3,ml,8,231.82,0.183,0.18,nn,nn00804483,2021-04-07T07:03:11.035Z,"40 km NNE of Beatty, Nevada",earthquake,,4.3,,,automatic,nn,nn
2021-04-07T06:37:11.120Z,34.6013333,-85.4793333,4.37,2.09,md,9,134,0.3683,0.12,se,se60125623,2021-04-07T13:14:42.210Z,"10 km ENE of Mentone, Alabama",earthquake,0.44,1.42,0.068,9,reviewed,se,se
2021-04-07T06:35:37.735Z,59.9737,-153.4532,123.3,2.7,ml,,,,0.72,ak,ak0214giwuet,2021-04-07T06:46:42.773Z,"42 km ENE of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-07T06:30:23.080Z,35.9695,-117.3866667,2.26,0.96,ml,12,197,0.1212,0.1,ci,ci39841536,2021-04-07T06:34:07.191Z,"22km N of Searles Valley, CA",earthquake,0.36,0.55,0.341,9,automatic,ci,ci
2021-04-07T06:28:04.039Z,60.6146,-151.6754,81.6,1.3,ml,,,,0.43,ak,ak0214giv9w3,2021-04-07T06:33:10.330Z,"19 km W of Salamatof, Alaska",earthquake,,1,,,automatic,ak,ak
2021-04-07T06:26:53.310Z,19.066333770752,-155.366668701172,32.2000007629395,2.37,ml,49,207,,0.150000006,hv,hv72415367,2021-04-07T06:32:24.120Z,"19 km SE of Pāhala, Hawaii",earthquake,0.59,0.879999995,3.63,6,automatic,hv,hv
2021-04-07T06:22:41.721Z,57.6546,-152.8674,13.4,1.9,ml,,,,0.55,ak,ak0214giu2i4,2021-04-07T06:27:19.501Z,"12 km WSW of Womens Bay, Alaska",earthquake,,2.6,,,automatic,ak,ak
2021-04-07T06:21:50.248Z,64.4893,-146.9383,10.8,0.9,ml,,,,0.38,ak,ak0214gitvg0,2021-04-07T06:25:09.170Z,"4 km SSW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-07T05:50:47.937Z,60.3371,-152.2801,73.2,0.9,ml,,,,0.39,ak,ak0214gienfd,2021-04-07T05:58:16.365Z,"46 km NW of Ninilchik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-04-07T05:45:30.351Z,61.6151,-149.9186,45.2,1.1,ml,,,,0.71,ak,ak0214gidjhn,2021-04-07T05:48:25.125Z,"5 km WSW of Houston, Alaska",earthquake,,1,,,automatic,ak,ak
